from_stop_id,to_stop_id,transfer_type,min_transfer_time
1-7333,1-7333,2,180
1-3634,1-4093,2,180
1-3634,1-4187,2,180
1-3634,1-5305,2,180
1-3634,1-4148,2,180
1-3634,1-3634,2,180
1-4093,1-4187,2,180
1-4093,1-5305,2,180
1-4093,1-4148,2,180
1-4093,1-3634,2,180
1-4093,1-4093,2,180
1-4148,1-4093,2,180
1-4148,1-4187,2,180
1-4148,1-5305,2,180
1-4148,1-3634,2,180
1-4148,1-4148,2,180
1-4187,1-4093,2,180
1-4187,1-5305,2,180
1-4187,1-4148,2,180
1-4187,1-3634,2,180
1-4187,1-4187,2,180
1-5305,1-4093,2,180
1-5305,1-4187,2,180
1-5305,1-4148,2,180
1-5305,1-3634,2,180
1-5305,1-5305,2,180
1-1361,1-3569,2,0
1-1361,1-5030,2,0
1-1361,1-3326,2,0
1-1361,1-5641,2,0
1-1361,1-3546,2,0
1-1361,1-3328,2,0
1-1361,1-2568,2,0
1-1361,1-2550,2,0
1-1361,1-1361,2,0
1-1361,1-2630,2,0
1-1361,1-2555,2,0
1-1361,1-2552,2,0
1-2550,1-3569,2,0
1-2550,1-5030,2,0
1-2550,1-3326,2,0
1-2550,1-5641,2,0
1-2550,1-3546,2,0
1-2550,1-1361,2,0
1-2550,1-3328,2,0
1-2550,1-2568,2,0
1-2550,1-2550,2,0
1-2550,1-2630,2,0
1-2550,1-2555,2,0
1-2550,1-2552,2,0
1-2568,1-3569,2,0
1-2568,1-5030,2,0
1-2568,1-3326,2,0
1-2568,1-5641,2,0
1-2568,1-3546,2,0
1-2568,1-1361,2,0
1-2568,1-3328,2,0
1-2568,1-2550,2,0
1-2568,1-2568,2,0
1-2568,1-2630,2,0
1-2568,1-2555,2,0
1-2568,1-2552,2,0
1-3326,1-3569,2,0
1-3326,1-5030,2,0
1-3326,1-5641,2,0
1-3326,1-3546,2,0
1-3326,1-1361,2,0
1-3326,1-3328,2,0
1-3326,1-2568,2,0
1-3326,1-2550,2,0
1-3326,1-3326,2,0
1-3326,1-2630,2,0
1-3326,1-2555,2,0
1-3326,1-2552,2,0
1-3328,1-3569,2,0
1-3328,1-5030,2,0
1-3328,1-3326,2,0
1-3328,1-5641,2,0
1-3328,1-3546,2,0
1-3328,1-1361,2,0
1-3328,1-2568,2,0
1-3328,1-2550,2,0
1-3328,1-3328,2,0
1-3328,1-2630,2,0
1-3328,1-2555,2,0
1-3328,1-2552,2,0
1-3546,1-3569,2,0
1-3546,1-5030,2,0
1-3546,1-3326,2,0
1-3546,1-5641,2,0
1-3546,1-1361,2,0
1-3546,1-3328,2,0
1-3546,1-2568,2,0
1-3546,1-2550,2,0
1-3546,1-3546,2,0
1-3546,1-2630,2,0
1-3546,1-2555,2,0
1-3546,1-2552,2,0
1-3569,1-5030,2,0
1-3569,1-3326,2,0
1-3569,1-5641,2,0
1-3569,1-3546,2,0
1-3569,1-1361,2,0
1-3569,1-3328,2,0
1-3569,1-2568,2,0
1-3569,1-2550,2,0
1-3569,1-3569,2,0
1-3569,1-2630,2,0
1-3569,1-2555,2,0
1-3569,1-2552,2,0
1-5030,1-3569,2,0
1-5030,1-3326,2,0
1-5030,1-5641,2,0
1-5030,1-3546,2,0
1-5030,1-1361,2,0
1-5030,1-3328,2,0
1-5030,1-2568,2,0
1-5030,1-2550,2,0
1-5030,1-5030,2,0
1-5030,1-2630,2,0
1-5030,1-2555,2,0
1-5030,1-2552,2,0
1-5641,1-3569,2,0
1-5641,1-5030,2,0
1-5641,1-3326,2,0
1-5641,1-3546,2,0
1-5641,1-1361,2,0
1-5641,1-3328,2,0
