stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding
1-4884,4884,des Quenouilles,Vézina / des Quenouilles,46.882595,-71.339836,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4884,0
1-3690,3690,Ruel/3690,121e Rue / Ruel,46.871651,-71.163467,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3690,1
1-6406,6406,Route 138/6406,du Foin / Route 138,46.741085,-71.472099,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6406,0
1-6247,6247,de Rotterdam,Route 138 / de Rotterdam,46.749607,-71.436104,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6247,0
1-5476,5476,Raymond/5476,Louis-XIV / au 2628,46.899155,-71.191986,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5476,1
1-6407,6407,Racette,Route 138 / Racette,46.741734,-71.468674,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6407,1
1-2879,2879,Racine/2879,de l'Hôpital / Racine,46.849075,-71.363655,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2879,0
1-3599,3599,Rachel,du Vignoble / Rachel,46.878784,-71.229988,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3599,0
1-5439,5439,Rachel,Myriam / Rachel,46.880493,-71.235603,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5439,0
1-4151,4151,Racine/4151,de l'Hôpital / Racine,46.849247,-71.363777,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4151,0
1-4326,4326,Racine,de l'Hôpital / Racine,46.8489,-71.363228,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4326,0
1-5305,5305,Racine/5305,W.-Caron / Racine,46.850574,-71.360817,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5305,1
1-3634,3634,Racine/3634,W.-Caron / Racine,46.850395,-71.360748,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3634,0
